stop,stop_lat,stop_lng,stop_distance_km,road_type,institution_id,city
Vissannapeta Layout,16.537025,80.607337,2.453,Main Road,AP_INST_Andhra_Loyola_College,Vijayawada
Pamarru Mandal Office,16.537042,80.589493,3.845,Highway,AP_INST_Andhra_Loyola_College,Vijayawada
Challapalli Layout,16.56059,80.580232,6.306,Village Road,AP_INST_Andhra_Loyola_College,Vijayawada
Benz Circle Colony,16.540291,80.626558,1.034,Main Road,AP_INST_VRSEC,Vijayawada
Governorpet Temple Road,16.555927,80.621642,2.83,Main Road,AP_INST_VRSEC,Vijayawada
Patamata Bus Stand,16.564763,80.622538,3.784,Main Road,AP_INST_VRSEC,Vijayawada
Kanuru Temple Road,16.586177,80.624072,6.143,Village Road,AP_INST_VRSEC,Vijayawada
Auto Nagar Square,16.61293,80.632067,9.126,Main Road,AP_INST_VRSEC,Vijayawada
Nunna Station 5,16.63275,80.612302,11.422,Main Road,AP_INST_VRSEC,Vijayawada
Gunadala Terminus,16.680533,80.629977,16.63,Village Road,AP_INST_VRSEC,Vijayawada
Ramavarappadu Market,16.749141,80.671595,24.717,Main Road,AP_INST_VRSEC,Vijayawada
Moghalrajpuram School Road,16.811265,80.61185,31.206,Highway,AP_INST_VRSEC,Vijayawada
Suryaraopet Old Town,16.53566,80.633743,0.886,Main Road,AP_INST_VRSEC,Vijayawada
Labbipet Bypass 10,16.543989,80.645511,2.445,Main Road,AP_INST_VRSEC,Vijayawada
Gandhinagar Station,16.553615,80.659744,4.302,Village Road,AP_INST_VRSEC,Vijayawada
MG Road Layout,16.563659,80.670752,5.911,Main Road,AP_INST_VRSEC,Vijayawada
One Town Hospital Road,16.587081,80.677063,8.207,Highway,AP_INST_VRSEC,Vijayawada
Bandar Road Gate,16.625983,80.693715,12.732,Highway,AP_INST_VRSEC,Vijayawada
Kondapalli Colony,16.61327,80.735502,14.745,Main Road,AP_INST_VRSEC,Vijayawada
Gannavaram Layout,16.658094,80.807085,23.833,Village Road,AP_INST_VRSEC,Vijayawada
Nidamanuru Flyover,16.650902,80.838146,26.154,Main Road,AP_INST_VRSEC,Vijayawada
Ibrahimpatnam Temple Road,16.532046,80.635195,0.881,Main Road,AP_INST_VRSEC,Vijayawada
Penamaluru Temple Road 19,16.526811,80.64767,2.252,Main Road,AP_INST_VRSEC,Vijayawada
Vuyyuru Hospital Road,16.524967,80.660128,3.595,Main Road,AP_INST_VRSEC,Vijayawada
Nandigama Bus Stand,16.544139,80.680052,5.841,Main Road,AP_INST_VRSEC,Vijayawada
Tiruvuru Chowk,16.528602,80.69608,7.369,Highway,AP_INST_VRSEC,Vijayawada
Kankipadu Bus Stop 23,16.55432,80.741056,12.431,Village Road,AP_INST_VRSEC,Vijayawada
Vissannapeta Old Town 24,16.504986,80.754544,13.901,Main Road,AP_INST_VRSEC,Vijayawada
Pamarru Station,16.580149,80.839046,23.252,Highway,AP_INST_VRSEC,Vijayawada
Challapalli Bank Colony 26,16.536002,80.889427,27.98,Main Road,AP_INST_VRSEC,Vijayawada
Gudivada Main Road,16.525376,80.633211,0.911,Main Road,AP_INST_VRSEC,Vijayawada
Machilipatnam School Road,16.512917,80.646147,2.865,Main Road,AP_INST_VRSEC,Vijayawada
Pedana Terminus,16.508522,80.656417,4.01,Village Road,AP_INST_VRSEC,Vijayawada
Avanigadda Flyover,16.501229,80.670387,5.688,Main Road,AP_INST_VRSEC,Vijayawada
Nagayalanka Station,16.476908,80.671138,7.637,Highway,AP_INST_VRSEC,Vijayawada
Koduru Center,16.480531,80.709888,10.468,Main Road,AP_INST_VRSEC,Vijayawada
Mylavaram School Road,16.398359,80.726802,18.188,Highway,AP_INST_VRSEC,Vijayawada
Jaggaiahpet School Road 34,16.391749,80.763678,21.265,Main Road,AP_INST_VRSEC,Vijayawada
Musunuru Temple Road 35,16.332683,80.809123,29.387,Highway,AP_INST_VRSEC,Vijayawada
Vatsavai Circle,16.521628,80.624747,1.069,Village Road,AP_INST_VRSEC,Vijayawada
Mandavalli Main Road,16.506613,80.626364,2.713,Village Road,AP_INST_VRSEC,Vijayawada
Pamidimukkala Hospital Road,16.494945,80.627786,4.01,Highway,AP_INST_VRSEC,Vijayawada
Unguturu Main Road,16.473341,80.618697,6.472,Highway,AP_INST_VRSEC,Vijayawada
Benz Circle Square 40,16.460753,80.630981,7.823,Main Road,AP_INST_VRSEC,Vijayawada
Governorpet Square,16.433982,80.60977,10.943,Main Road,AP_INST_VRSEC,Vijayawada
Patamata Chowk 42,16.376905,80.58669,17.666,Main Road,AP_INST_VRSEC,Vijayawada
Kanuru Market 43,16.350555,80.663798,20.445,Main Road,AP_INST_VRSEC,Vijayawada
Auto Nagar Bus Stand,16.249622,80.595575,31.467,Main Road,AP_INST_VRSEC,Vijayawada
Nunna Junction,16.524685,80.619705,1.048,Highway,AP_INST_VRSEC,Vijayawada
Gunadala Ring Road,16.511259,80.614366,2.575,Main Road,AP_INST_VRSEC,Vijayawada
Ramavarappadu Old Town,16.504209,80.610833,3.442,Village Road,AP_INST_VRSEC,Vijayawada
Moghalrajpuram Bypass,16.492111,80.587118,6.064,Highway,AP_INST_VRSEC,Vijayawada
Suryaraopet Junction,16.483363,80.576368,7.563,Highway,AP_INST_VRSEC,Vijayawada
Labbipet New Town,16.467263,80.525592,12.928,Highway,AP_INST_VRSEC,Vijayawada
Gandhinagar Circle,16.418635,80.541119,15.491,Village Road,AP_INST_VRSEC,Vijayawada
MG Road Depot 52,16.345057,80.498385,24.812,Main Road,AP_INST_VRSEC,Vijayawada
One Town Market,16.338435,80.484605,26.251,Highway,AP_INST_VRSEC,Vijayawada
Bandar Road Bridge,16.530692,80.617596,1.003,Highway,AP_INST_VRSEC,Vijayawada
Kondapalli Station 55,16.531933,80.602995,2.561,Village Road,AP_INST_VRSEC,Vijayawada
Gannavaram Chowk,16.525062,80.593616,3.619,Main Road,AP_INST_VRSEC,Vijayawada
Nidamanuru Junction,16.54148,80.578531,5.296,Main Road,AP_INST_VRSEC,Vijayawada
Ibrahimpatnam Layout,16.512497,80.539439,9.558,Highway,AP_INST_VRSEC,Vijayawada
Penamaluru Circle,16.523301,80.520306,11.406,Village Road,AP_INST_VRSEC,Vijayawada
Vuyyuru Gate 60,16.51745,80.492119,14.457,Main Road,AP_INST_VRSEC,Vijayawada
Nandigama School Road,16.479521,80.41031,23.801,Highway,AP_INST_VRSEC,Vijayawada
Tiruvuru Chowk 62,16.537494,80.396789,24.55,Main Road,AP_INST_VRSEC,Vijayawada
Kankipadu Old Town,16.537876,80.620674,1.019,Village Road,AP_INST_VRSEC,Vijayawada
Vissannapeta Depot,16.547382,80.607007,2.804,Village Road,AP_INST_VRSEC,Vijayawada
Pamarru Bus Stop 65,16.558818,80.597743,4.392,Highway,AP_INST_VRSEC,Vijayawada
Challapalli Main Road,16.56708,80.578676,6.529,Main Road,AP_INST_VRSEC,Vijayawada
Brodipet Main Road,16.516902,80.577017,0.996,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Arundelpet Center,16.530796,80.570411,2.604,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Kothapet Station,16.545661,80.572325,4.206,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Nallapadu School Road,16.566665,80.588211,6.652,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Amaravati Road Flyover,16.593718,80.560466,9.674,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Gorantla Bypass,16.624985,80.573962,13.01,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Prathipadu Circle,16.660062,80.547036,17.188,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Mangalagiri Chowk,16.691087,80.574776,20.359,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Pedakakani Layout,16.792583,80.595977,31.716,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Tenali Layout,16.512489,80.583165,0.912,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Bapatla Circle,16.517681,80.593351,2.14,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Chirala Hospital Road,16.534032,80.603792,4.142,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Ongole Bridge,16.544509,80.615091,5.818,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Narasaraopet Bus Stop,16.564972,80.64121,9.405,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Ponnur Bank Colony,16.555913,80.658957,10.324,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Repalle Mandal Office,16.62474,80.662465,15.919,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Sattenapalli Old Town,16.659601,80.735787,23.961,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Vinukonda Gate,16.648345,80.770341,25.933,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Macherla Bypass,16.506092,80.58456,0.937,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Markapur Temple Road,16.509492,80.597256,2.272,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Piduguralla Layout,16.510233,80.61387,4.045,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Miryalaguda Bus Stand,16.513349,80.631094,5.904,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Nalgonda Bus Stop,16.48953,80.661597,9.354,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Suryapet Hospital Road,16.49869,80.683094,11.465,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Khammam Bus Stop,16.511588,80.722511,15.625,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Tadepalli Bank Colony,16.495314,80.807407,24.712,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Peda Kakani Bypass,16.550191,80.833582,27.856,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Kaza Bypass,16.501344,80.584106,1.138,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Duggirala Hospital Road,16.49445,80.594351,2.469,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Ippatam Market,16.481743,80.60506,4.257,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Piduguralla Bus Stand,16.473733,80.608698,5.165,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Rentachintala Cross Roads,16.446218,80.614402,7.998,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Karampudi Ring Road,16.427646,80.673975,13.747,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Chilakaluripet Bank Colony,16.395439,80.695573,17.868,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Phirangipuram Chowk,16.355159,80.672969,19.895,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Dachepalli Station,16.350373,80.804513,30.02,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Gundugolanu Gate,16.499833,80.576576,0.91,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Mopidevi Mandal Office,16.48763,80.580379,2.313,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Kolluru Chowk,16.471563,80.577255,4.054,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Brodipet Temple Road,16.451318,80.570114,6.334,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Arundelpet Center 40,16.431297,80.569839,8.554,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Kothapet Ring Road,16.403978,80.56015,11.69,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Nallapadu Center,16.382656,80.58884,14.005,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Amaravati Road Center,16.289283,80.515267,25.168,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Gorantla Mandal Office,16.226919,80.599009,31.351,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Prathipadu Main Road,16.501907,80.570645,0.886,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Mangalagiri Nagar,16.494464,80.556769,2.543,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Pedakakani Layout 47,16.478618,80.549536,4.317,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Tenali Bus Stop,16.471529,80.54464,5.256,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Bapatla Hospital Road,16.452989,80.511816,9.179,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Chirala Bridge,16.425596,80.517702,11.073,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Ongole Bridge 51,16.43728,80.452049,15.379,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Narasaraopet Bridge,16.398229,80.391468,23.157,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Ponnur Cross Roads,16.332781,80.423604,25.373,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Repalle Colony,16.509366,80.56594,1.083,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Sattenapalli Nagar,16.511442,80.55076,2.718,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Vinukonda Mandal Office,16.512633,80.538099,4.073,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Macherla New Town,16.501703,80.515567,6.481,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Markapur Circle,16.501284,80.487864,9.426,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Piduguralla Market,16.518045,80.466452,11.732,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Miryalaguda Bank Colony,16.538747,80.426319,16.319,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Nalgonda Layout,16.525093,80.363625,22.72,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Suryapet Center,16.482178,80.288848,30.75,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Khammam Circle,16.514606,80.570601,0.933,Highway,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Tadepalli Hospital Road,16.526209,80.562647,2.475,Village Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Peda Kakani Layout,16.532245,80.549086,3.937,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Kaza Main Road,16.549739,80.548686,5.479,Main Road,AP_INST_Vasireddy_Venkatadri_Inst,Guntur
Brodipet Layout,16.332505,80.437228,0.975,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Arundelpet Nagar,16.348683,80.438416,2.769,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Kothapet Bus Stand,16.362475,80.427057,4.361,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Nallapadu Market,16.37864,80.429554,6.103,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Amaravati Road Main Road,16.399621,80.417747,8.608,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Gorantla Depot,16.425213,80.460644,11.582,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Prathipadu Station,16.476551,80.436071,16.963,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Mangalagiri Center,16.533241,80.380059,23.993,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Pedakakani Square,16.568558,80.496054,27.962,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Tenali Temple Road,16.329183,80.443063,1.036,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Bapatla Temple Road,16.34063,80.450182,2.458,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Chirala School Road,16.342081,80.466605,3.926,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Ongole Colony,16.367772,80.462429,5.679,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Narasaraopet Colony,16.371134,80.484121,7.412,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Ponnur Bus Stand,16.40237,80.524385,12.918,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Repalle Depot,16.411005,80.543838,15.114,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Sattenapalli Main Road,16.498934,80.547029,22.829,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Vinukonda Circle,16.53684,80.570231,27.715,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Macherla Gate,16.325298,80.444867,1.063,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Markapur Ring Road,16.328658,80.456258,2.327,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Piduguralla Bridge,16.326384,80.467382,3.466,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Miryalaguda Bypass,16.33607,80.487434,5.754,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Nalgonda Square,16.334199,80.504989,7.554,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Suryapet Bus Stop,16.300721,80.537202,11.21,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Khammam Bus Stand,16.305355,80.595087,17.209,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Tadepalli Bypass,16.355728,80.640883,22.25,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Peda Kakani Center,16.32982,80.705567,28.88,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Kaza Bus Stop,16.316828,80.439988,0.959,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Duggirala Colony,16.304494,80.447153,2.527,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Ippatam Chowk,16.301326,80.457905,3.512,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Piduguralla Center,16.292807,80.477173,5.682,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Rentachintala Layout,16.258665,80.482081,8.833,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Karampudi Bypass,16.2477,80.527872,13.048,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Chilakaluripet Main Road,16.237155,80.539953,14.79,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Phirangipuram New Town,16.191021,80.585409,21.827,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Dachepalli Temple Road,16.179077,80.676406,30.394,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Gundugolanu Bus Stop,16.314386,80.437095,1.092,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Mopidevi Center,16.298287,80.435207,2.859,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Kolluru Junction,16.289851,80.441243,3.855,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Brodipet Center,16.274659,80.435745,5.487,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Arundelpet School Road,16.241811,80.434388,9.139,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Kothapet Bus Stop,16.214029,80.432953,12.23,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Nallapadu Center 42,16.201704,80.411787,13.823,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Amaravati Road Colony,16.105427,80.420283,24.355,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Gorantla Center,16.09211,80.455666,25.879,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Prathipadu Bridge,16.318748,80.427329,1.006,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Mangalagiri Old Town,16.311484,80.419467,2.164,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Pedakakani Mandal Office,16.296426,80.413983,3.799,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Tenali Terminus,16.278751,80.395769,6.546,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Bapatla Center,16.269558,80.376439,8.701,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Chirala Circle,16.242302,80.358594,12.208,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Ongole Station,16.237195,80.333504,14.51,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Narasaraopet Bus Stand,16.192019,80.255418,24.143,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Ponnur Colony,16.132397,80.297937,25.847,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Repalle Old Town,16.324868,80.425573,1.011,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Sattenapalli Hospital Road,16.321317,80.414566,2.201,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Vinukonda Station,16.318526,80.396997,4.101,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Macherla Center,16.31476,80.379986,5.96,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Markapur Hospital Road,16.333529,80.350169,9.114,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Piduguralla Circle,16.310389,80.310996,13.319,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Miryalaguda Junction,16.345807,80.296749,14.95,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Nalgonda Old Town,16.3132,80.243776,20.442,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Suryapet Gate,16.382131,80.16886,29.123,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Khammam Colony,16.329921,80.429516,0.881,Village Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Tadepalli Temple Road,16.344094,80.42131,2.67,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Peda Kakani Chowk,16.349219,80.403594,4.37,Main Road,AP_INST_Acharya_Nagarjuna_University,Guntur
Kaza Center,16.362199,80.404688,5.339,Highway,AP_INST_Acharya_Nagarjuna_University,Guntur
Gajuwaka Gate,17.742936,83.327842,0.912,Main Road,AP_INST_GITAM_University,Visakhapatnam
NAD Junction Terminus,17.754642,83.335252,2.254,Main Road,AP_INST_GITAM_University,Visakhapatnam
Kommadi School Road,17.771661,83.331956,4.082,Main Road,AP_INST_GITAM_University,Visakhapatnam
Bheemunipatnam Market,17.78287,83.337827,5.387,Highway,AP_INST_GITAM_University,Visakhapatnam
Rushikonda Bridge,17.800582,83.3473,7.519,Highway,AP_INST_GITAM_University,Visakhapatnam
Beach Road Nagar,17.836385,83.354883,11.577,Village Road,AP_INST_GITAM_University,Visakhapatnam
Lawsons Bay Cross Roads,17.882105,83.312009,16.468,Main Road,AP_INST_GITAM_University,Visakhapatnam
MVP Colony Gate,17.950994,83.355853,24.173,Village Road,AP_INST_GITAM_University,Visakhapatnam
Dwaraka Nagar Ring Road,17.951352,83.337382,24.07,Village Road,AP_INST_GITAM_University,Visakhapatnam
Ram Nagar Station,17.74154,83.33665,1.012,Main Road,AP_INST_GITAM_University,Visakhapatnam
Siripuram Colony,17.746775,83.347324,2.254,Main Road,AP_INST_GITAM_University,Visakhapatnam
Murali Nagar Mandal Office,17.756928,83.352408,3.402,Highway,AP_INST_GITAM_University,Visakhapatnam
Steel Plant Nagar,17.766024,83.368931,5.376,Village Road,AP_INST_GITAM_University,Visakhapatnam
Vizag Port Bypass,17.793509,83.391853,9.232,Main Road,AP_INST_GITAM_University,Visakhapatnam
Maddilapalem Station,17.819905,83.399173,11.949,Highway,AP_INST_GITAM_University,Visakhapatnam
Waltair Colony,17.873988,83.417163,18.0,Main Road,AP_INST_GITAM_University,Visakhapatnam
Maharani Peta Bypass,17.889908,83.46981,22.711,Highway,AP_INST_GITAM_University,Visakhapatnam
Dabagardens Gate,17.885356,83.520997,26.237,Highway,AP_INST_GITAM_University,Visakhapatnam
Jagadamba Junction New Town,17.732475,83.340249,1.121,Highway,AP_INST_GITAM_University,Visakhapatnam
Seethammadhara Temple Road,17.729788,83.351189,2.318,Highway,AP_INST_GITAM_University,Visakhapatnam
Asilmetta Cross Roads,17.727476,83.36853,4.166,Main Road,AP_INST_GITAM_University,Visakhapatnam
Gopalapatnam Terminus,17.736467,83.395054,6.892,Main Road,AP_INST_GITAM_University,Visakhapatnam
Tatichetlapalem Flyover,17.713603,83.417296,9.547,Main Road,AP_INST_GITAM_University,Visakhapatnam
Pendurthi Chowk,17.729659,83.44429,12.119,Village Road,AP_INST_GITAM_University,Visakhapatnam
Bhpv Colony Market,17.73866,83.479491,15.838,Village Road,AP_INST_GITAM_University,Visakhapatnam
Ukkunagaram Bus Stand,17.733787,83.559969,24.357,Highway,AP_INST_GITAM_University,Visakhapatnam
Marripalem Temple Road,17.778734,83.561209,24.963,Main Road,AP_INST_GITAM_University,Visakhapatnam
Bheemili Cross Roads,17.729593,83.335815,0.861,Village Road,AP_INST_GITAM_University,Visakhapatnam
Anakapalli Hospital Road,17.715693,83.347033,2.804,Main Road,AP_INST_GITAM_University,Visakhapatnam
Yelamanchili Center,17.702048,83.355619,4.56,Highway,AP_INST_GITAM_University,Visakhapatnam
Narsipatnam Circle,17.687685,83.359659,6.128,Highway,AP_INST_GITAM_University,Visakhapatnam
Paderu Temple Road,17.692796,83.401868,8.943,Main Road,AP_INST_GITAM_University,Visakhapatnam
Araku Colony,17.667196,83.397598,10.398,Main Road,AP_INST_GITAM_University,Visakhapatnam
Chodavaram Old Town,17.618866,83.415275,15.76,Main Road,AP_INST_GITAM_University,Visakhapatnam
Tuni Bus Stand,17.604955,83.499061,23.02,Village Road,AP_INST_GITAM_University,Visakhapatnam
Prabhavathi Hills Main Road,17.621111,83.522775,24.031,Main Road,AP_INST_GITAM_University,Visakhapatnam
Simhachalam Gate,17.72542,83.329739,1.066,Main Road,AP_INST_GITAM_University,Visakhapatnam
Kailasagiri Bypass,17.712623,83.33209,2.498,Highway,AP_INST_GITAM_University,Visakhapatnam
Bheemunipatanam Temple Road,17.69763,83.322088,4.239,Village Road,AP_INST_GITAM_University,Visakhapatnam
Rambilli Center,17.67765,83.334738,6.397,Highway,AP_INST_GITAM_University,Visakhapatnam
Gajuwaka Terminus,17.653683,83.324856,9.058,Highway,AP_INST_GITAM_University,Visakhapatnam
NAD Junction School Road,17.633332,83.332495,11.308,Main Road,AP_INST_GITAM_University,Visakhapatnam
Kommadi Station,17.603971,83.343623,14.641,Main Road,AP_INST_GITAM_University,Visakhapatnam
Bheemunipatnam Colony,17.530703,83.329212,22.717,Highway,AP_INST_GITAM_University,Visakhapatnam
Rushikonda Bridge 44,17.456422,83.340554,30.997,Main Road,AP_INST_GITAM_University,Visakhapatnam
Beach Road Depot,17.726843,83.32499,1.051,Highway,AP_INST_GITAM_University,Visakhapatnam
Lawsons Bay Market,17.715358,83.314029,2.763,Highway,AP_INST_GITAM_University,Visakhapatnam
MVP Colony Flyover,17.717884,83.300516,3.657,Main Road,AP_INST_GITAM_University,Visakhapatnam
Dwaraka Nagar Mandal Office,17.702833,83.280599,6.338,Highway,AP_INST_GITAM_University,Visakhapatnam
Ram Nagar Temple Road,17.680217,83.274396,8.473,Main Road,AP_INST_GITAM_University,Visakhapatnam
Siripuram Circle,17.641545,83.263271,12.568,Main Road,AP_INST_GITAM_University,Visakhapatnam
Murali Nagar Square,17.625558,83.261036,14.194,Village Road,AP_INST_GITAM_University,Visakhapatnam
Steel Plant Old Town,17.63096,83.166268,20.85,Main Road,AP_INST_GITAM_University,Visakhapatnam
Vizag Port Main Road,17.525875,83.18665,27.776,Highway,AP_INST_GITAM_University,Visakhapatnam
Maddilapalem Gate,17.732428,83.319599,1.138,Village Road,AP_INST_GITAM_University,Visakhapatnam
Waltair Flyover,17.737298,83.307387,2.409,Highway,AP_INST_GITAM_University,Visakhapatnam
